t_C,vg_m3_kg,Hg_kJ_kg,sv_kJ_kgK,Cpv_kJ_kgK,wv_m_s,kv_1,etav_uPas,lambdav_mW_mK
50,14.8674,2591.99,8.1741,1.9272,443.67,1.324,10.52,20.26
55,15.1015,2601.60,8.2037,1.9178,447.26,1.3246,10.69,20.64
60,15.3353,2611.18,8.2326,1.9124,450.74,1.3248,10.87,21.03
65,15.5687,2620.73,8.2611,1.9091,454.14,1.3247,11.05,21.42
70,15.8018,2630.27,8.2891,1.9071,457.50,1.3246,11.23,21.82
75,16.0347,2639.80,8.3167,1.9058,460.81,1.3243,11.41,22.22
80,16.2674,2649.33,8.3438,1.9051,464.09,1.324,11.59,22.62
85,16.4999,2658.86,8.3706,1.9048,467.33,1.3236,11.77,23.03
90,16.7323,2668.38,8.3970,1.9048,470.55,1.3233,11.95,23.43
95,16.9646,2677.90,8.4231,1.9051,473.73,1.3229,12.14,23.85
100,17.1967,2687.43,8.4488,1.9057,476.89,1.3225,12.33,24.26
110,17.6607,2706.50,8.4992,1.9074,483.12,1.3216,12.70,25.11
120,18.1243,2725.58,8.5484,1.9098,489.25,1.3207,13.08,25.96
130,18.5876,2744.69,8.5964,1.9128,495.28,1.3197,13.47,26.83
140,19.0507,2763.84,8.6433,1.9163,501.22,1.3187,13.86,27.71
150,19.5136,2783.02,8.6892,1.9201,507.07,1.3176,14.25,28.60
160,19.9763,2802.24,8.7340,1.9243,512.83,1.3166,14.64,29.51
170,20.4389,2821.51,8.7780,1.9288,518.52,1.3154,15.04,30.42
180,20.9013,2840.82,8.8211,1.9336,524.13,1.3143,15.43,31.35
190,21.3637,2860.18,8.8634,1.9385,529.66,1.3132,15.83,32.29
200,21.826,2879.59,8.9048,1.9436,535.13,1.3120,16.24,33.25
210,22.2882,2899.05,8.9455,1.9489,540.52,1.3108,16.64,34.21
220,22.7504,2918.57,8.9855,1.9543,545.85,1.3097,17.05,35.19
230,23.2124,2938.14,9.0248,1.9598,551.12,1.3085,17.45,36.18
240,23.6745,2957.76,9.0634,1.9654,556.32,1.3073,17.86,37.18
